City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,Barra Do Garcas,-15.89,-52.2567,88.38,19,0,4.61,BR,2022-05-22 18:51:29
214,Nanortalik,60.1432,-45.2371,37.51,98,100,6.85,GL,2022-05-22 18:46:56
215,Passo De Camaragibe,-9.2368,-35.4901,81.95,78,13,9.6,BR,2022-05-22 18:51:29
216,San Andres,12.5847,-81.7006,87.82,74,100,12.66,CO,2022-05-22 18:51:29
217,Evinayong,1.4368,10.5512,68.52,99,62,2.66,GQ,2022-05-22 18:51:29
218,Grand-Santi,4.25,-54.3833,81.23,87,62,1.3,GF,2022-05-22 18:51:30
219,Uni,57.7535,51.4923,32.77,93,95,6.91,RU,2022-05-22 18:51:30
220,Graaff-Reinet,-32.2522,24.5308,55.13,70,10,2.68,ZA,2022-05-22 18:51:30
221,Rezekne,56.5,27.3167,44.78,68,100,5.01,LV,2022-05-22 18:51:30
222,Antofagasta,-23.65,-70.4,60.08,72,31,8.88,CL,2022-05-22 18:47:18
223,Aklera,24.4167,76.5667,91.26,39,20,22.32,IN,2022-05-22 18:51:31
224,Lasa,46.6166,10.7002,77.88,90,100,5.79,IT,2022-05-22 18:51:31
225,Port Elizabeth,-33.918,25.5701,57.09,88,0,3.44,ZA,2022-05-22 18:48:36
226,Evensk,61.95,159.2333,37.83,92,98,2.33,RU,2022-05-22 18:51:31
227,Tuatapere,-46.1333,167.6833,43.93,84,65,7.61,NZ,2022-05-22 18:51:31
228,Dickinson,29.4608,-95.0513,85.15,72,75,9.22,US,2022-05-22 18:51:32
229,Tiksi,71.6872,128.8694,30.58,87,100,5.44,RU,2022-05-22 18:51:32
230,Saint-Pierre,-21.3393,55.4781,71.28,68,0,6.91,RE,2022-05-22 18:51:32
231,San Juan,-31.5375,-68.5364,76.37,15,30,5.82,AR,2022-05-22 18:52:32
232,Tautira,-17.7333,-149.15,79.23,74,26,14.63,PF,2022-05-22 18:52:33
233,Isla Vista,34.4133,-119.861,79.38,62,75,7.43,US,2022-05-22 18:52:33
234,Wattegama,6.7989,81.4808,76.55,78,41,5.5,LK,2022-05-22 18:52:33
235,Panzhihua,26.5851,101.7128,67.23,91,100,1.23,CN,2022-05-22 18:47:38
236,Mariental,-24.6333,17.9667,58.08,46,8,9.26,NA,2022-05-22 18:52:33
237,Tazovskiy,67.4667,78.7,35.19,95,100,14.79,RU,2022-05-22 18:52:34
238,Wahpeton,46.2652,-96.6059,57.22,38,75,16.11,US,2022-05-22 18:52:34
239,Hobyo,5.3505,48.5268,80.22,85,100,29.39,SO,2022-05-22 18:52:34
240,Ojinaga,29.5667,-104.4167,83.57,41,0,18.41,MX,2022-05-22 18:51:54
241,Lahij,13.1667,44.5833,89.1,35,80,5.1,YE,2022-05-22 18:52:34
242,Paamiut,61.994,-49.6678,34.83,91,100,21.27,GL,2022-05-22 18:52:35
243,Sungaipenuh,-2.0833,101.3833,63.57,95,57,2.21,ID,2022-05-22 18:52:35
244,Alta,69.9689,23.2717,45.66,71,75,10.36,NO,2022-05-22 18:52:35
245,Holme,56.1138,10.1725,60.37,74,100,2.64,DK,2022-05-22 18:52:36
246,Pochutla,15.7432,-96.4661,92.82,39,0,10.54,MX,2022-05-22 18:49:49
247,Sakti,22.0333,82.9667,86.31,33,14,6.71,IN,2022-05-22 18:52:36
248,Mount Isa,-20.7333,139.5,60.57,77,0,0.0,AU,2022-05-22 18:52:36
249,Pisco,-13.7,-76.2167,67.01,77,20,10.36,PE,2022-05-22 18:52:36
250,Grand Gaube,-20.0064,57.6608,75.6,74,7,5.01,MU,2022-05-22 18:52:37
251,Yeppoon,-23.1333,150.7333,65.98,88,100,10.56,AU,2022-05-22 18:52:37
252,Xai-Xai,-25.0519,33.6442,65.98,93,100,3.29,MZ,2022-05-22 18:52:37
253,Arlit,18.7369,7.3853,94.44,13,100,7.58,NE,2022-05-22 18:52:37
254,Sinnamary,5.3833,-52.95,80.83,80,94,6.42,GF,2022-05-22 18:52:38
255,Bubaque,11.2833,-15.8333,78.3,75,98,16.22,GW,2022-05-22 18:52:38
256,Saint Anthony,45.0205,-93.218,58.17,40,100,14.97,US,2022-05-22 18:52:38
257,Shache,38.4167,77.2406,71.51,32,100,12.03,CN,2022-05-22 18:52:38
258,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.72,78,6,15.43,BR,2022-05-22 18:52:13
259,Umm Kaddadah,13.6017,26.6876,85.5,15,100,8.84,SD,2022-05-22 18:52:39
260,Talnakh,69.4865,88.3972,33.21,100,100,2.08,RU,2022-05-22 18:52:39
261,Mehamn,71.0357,27.8492,40.91,88,95,5.59,NO,2022-05-22 18:52:39
262,Jacareacanga,-6.2222,-57.7528,90.99,40,17,4.25,BR,2022-05-22 18:52:39
263,Bereda,43.2686,-7.5406,63.41,99,100,3.04,ES,2022-05-22 18:52:40
264,Tura,25.5198,90.2201,72.48,93,98,3.62,IN,2022-05-22 18:52:40
265,Amahai,-3.3333,128.9167,77.83,87,99,1.9,ID,2022-05-22 18:52:40
266,Muli,2.9167,73.5667,83.48,76,53,12.59,MV,2022-05-22 18:52:40
267,Plavsk,53.7094,37.2919,41.54,71,11,9.62,RU,2022-05-22 18:52:41
268,Varhaug,58.6147,5.6457,58.48,83,100,14.09,NO,2022-05-22 18:52:41
269,Basco,20.4487,121.9702,81.72,79,100,11.92,PH,2022-05-22 18:52:41
270,Inirida,3.8653,-67.9239,82.0,74,89,3.27,CO,2022-05-22 18:52:41
271,Matay,28.419,30.7792,76.17,22,0,8.01,EG,2022-05-22 18:52:42
272,Sint-Genesius-Rode,50.7464,4.3575,69.55,58,0,4.61,BE,2022-05-22 18:52:42
273,Khatanga,71.9667,102.5,31.82,93,100,6.78,RU,2022-05-22 18:52:42
274,Kerman,30.2832,57.0788,69.66,17,0,9.22,IR,2022-05-22 18:52:43
275,Kaeo,-35.1,173.7833,54.46,90,99,4.18,NZ,2022-05-22 18:52:43
276,Vanderhoof,54.0166,-124.0198,63.48,27,13,7.56,CA,2022-05-22 18:52:43
277,Korsakovo,53.2677,37.3569,42.3,72,7,9.84,RU,2022-05-22 18:52:43
278,Barstow,34.8986,-117.0228,81.59,15,3,6.51,US,2022-05-22 18:53:44
279,Ondjiva,-17.0667,15.7333,59.07,23,0,5.7,AO,2022-05-22 18:53:44
280,Jumla,29.2747,82.1838,48.52,94,76,2.64,NP,2022-05-22 18:53:44
281,Hambantota,6.1241,81.1185,79.43,85,81,15.97,LK,2022-05-22 18:53:44
282,Naranjal,-2.6667,-79.6167,84.18,72,72,3.69,EC,2022-05-22 18:53:45
283,Leninskoye,41.7589,69.3864,50.34,63,97,5.26,KZ,2022-05-22 18:53:45
284,Lompoc,34.6391,-120.4579,74.7,66,0,12.66,US,2022-05-22 18:49:07
285,Concepcion,-36.827,-73.0498,55.2,94,100,18.41,CL,2022-05-22 18:52:15
286,Finschhafen,-6.6024,147.8681,79.52,79,4,6.89,PG,2022-05-22 18:53:45
287,Bar Harbor,44.3876,-68.2039,76.93,79,0,12.66,US,2022-05-22 18:49:01
288,Kurchum,48.5722,83.6542,62.49,65,32,8.37,KZ,2022-05-22 18:53:45
289,Mareeba,-17.0,145.4333,68.72,90,76,2.19,AU,2022-05-22 18:53:46
290,Sokolo,14.7328,-6.1219,95.45,24,100,4.56,ML,2022-05-22 18:53:46
291,Ampanihy,-24.7,44.75,66.85,60,1,5.88,MG,2022-05-22 18:53:46
292,Elat,29.5581,34.9482,82.24,30,0,11.5,IL,2022-05-22 18:53:46
293,Kerewan,13.4898,-16.0888,81.64,50,58,15.95,GM,2022-05-22 18:53:47
