City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Ballina,AU,-28.8667,153.5667,57.78,72,36,10.09,light rain
304,Cilegon,ID,-6.0174,106.0538,79.83,83,65,4.68,heavy intensity rain
305,Christchurch,NZ,-43.5333,172.6333,55.9,85,20,9.22,light rain
306,Tuatapere,NZ,-46.1333,167.6833,46.13,91,21,5.21,few clouds
307,Obo,CF,5.3998,26.4869,86.54,49,59,4.52,broken clouds
308,Inta,RU,66.0317,60.1659,60.84,31,1,12.93,clear sky
309,Sibu,MY,2.3,111.8167,75.07,95,77,2.35,broken clouds
310,Cozumel,MX,20.5083,-86.9458,79.95,95,75,4.61,broken clouds
311,Yenisehir,TR,40.2644,29.6531,84.25,48,20,16.11,few clouds
312,Olinda,BR,-8.0089,-34.8553,82.13,69,75,11.5,broken clouds
313,Karratha,AU,-20.7377,116.8463,74.44,49,49,5.55,scattered clouds
314,Pundaguitan,PH,6.3711,126.1689,83.55,74,100,10.6,overcast clouds
315,Esperance,AU,-33.8667,121.9,49.84,66,100,9.08,overcast clouds
316,Manvi,IN,15.9833,77.05,94.87,33,95,2.84,overcast clouds
317,Tautira,PF,-17.7333,-149.15,77.83,80,99,14.09,moderate rain
318,Veraval,IN,20.9,70.3667,84.88,74,9,13.71,clear sky
319,Araouane,ML,18.9048,-3.5265,107.65,9,0,5.19,clear sky
320,Progreso,MX,21.2833,-89.6667,78.91,80,26,1.68,scattered clouds
321,Nalut,LY,30.3333,10.85,97.0,13,0,15.57,clear sky
322,Coos Bay,US,43.3665,-124.2179,58.98,99,100,8.05,mist
323,Vardo,NO,70.3705,31.1107,44.58,93,100,18.41,overcast clouds
324,Seinajoki,FI,62.7945,22.8282,59.9,48,40,11.99,scattered clouds
325,Kaniama,CD,-7.5667,24.1833,86.54,26,26,5.61,scattered clouds
326,Manokwari,ID,-0.8667,134.0833,78.96,79,20,7.85,few clouds
327,Mollendo,PE,-17.0231,-72.0147,63.27,86,100,5.55,overcast clouds
328,Geraldton,AU,-28.7667,114.6,55.81,50,88,5.75,overcast clouds
329,Vanimo,PG,-2.6741,141.3028,77.92,86,10,3.65,clear sky
330,Cap Malheureux,MU,-19.9842,57.6142,76.46,61,2,7.0,clear sky
331,Vao,NC,-22.6667,167.4833,73.15,70,92,5.84,overcast clouds
332,Librazhd,AL,41.1794,20.315,87.62,39,34,7.16,scattered clouds
333,Hokitika,NZ,-42.7167,170.9667,52.03,92,100,4.65,light rain
334,Mwinilunga,ZM,-11.7358,24.4293,75.25,26,12,7.87,few clouds
335,Markivka,UA,49.5229,39.5705,73.99,64,88,9.82,overcast clouds
336,Pokhara,NP,28.2333,83.9833,81.18,54,65,3.33,moderate rain
337,Coquimbo,CL,-29.9533,-71.3436,53.33,76,75,4.61,broken clouds
338,Muros,ES,42.7762,-9.0603,69.67,68,100,7.63,overcast clouds
339,Souillac,MU,-20.5167,57.5167,75.58,64,40,11.5,scattered clouds
340,Mount Gambier,AU,-37.8333,140.7667,48.11,81,75,20.71,light intensity shower rain
341,Dunboyne,IE,53.4,-6.4667,52.32,93,75,12.66,broken clouds
342,Ahome,MX,25.9167,-109.1833,74.37,82,0,6.53,clear sky
343,Sabuncu,AZ,40.4425,49.9481,85.75,35,0,20.71,clear sky
344,Hualmay,PE,-11.0964,-77.6139,66.13,80,92,11.45,overcast clouds
345,Plouzane,FR,48.3833,-4.6167,62.78,65,75,18.41,broken clouds
346,Taoudenni,ML,22.6783,-3.9836,113.36,7,45,7.78,scattered clouds
